,1.00*SDG9,1.00*SDG3,1.00*SDG14,1.00*SDG7,1.00*SDG6,1.00*SDG5,1.00*SDG13,1.00*SDG1,1.00*SDG4,1.00*SDG15,1.00*SDG11,"0.80*SDG10,0.20*SDG9",1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG12
0,manufacturing,death,marine,energy,water,woman,climate,poverty,education,forest,urban,country,right,food,labour,material
1,added,disease,ocean,renewable,sanitation,girl,climate change,extreme poverty,primary,biodiversity,city,developing,institution,hunger,growth,consumption
2,value added,health,coastal,renewable energy,drinking,woman girl,change,extreme,school,area,slum,developing country,victim,agricultural,rate,footprint
3,value,mortality,fishery,electricity,drinking water,gender,adaptation,social protection,child,land,population,developed country,country,agriculture,unemployment,material footprint
4,manufacturing value,maternal,acidification,clean,water sanitation,marriage,nationally contribution,social,secondary,specie,urban population,developed,human right,malnutrition,employment,material consumption
5,industry,rate,ecosystem,technology,safely,equality,contribution,protection,reading,loss,public,duty,violence,breed,labour productivity,consumption production
6,country,live,ocean acidification,energy consumption,management,violence,nationally,disaster,learning,terrestrial,waste,island developing,child,export,unemployment rate,production
7,developed,communicable,fish,fuel,facility,sexual,country,living,proficiency,ecosystem,transport,developing state,human,child,productivity,domestic material
8,global,mortality rate,stock,energy efficiency,water resource,gender equality,disaster,poor,primary school,mountain,space,island,detected,wasting,growth rate,sustainable consumption
9,infrastructure,death live,eutrophication,access,wastewater,female,agreement,benefit,teacher,wildlife,housing,development,justice,genetic,adult,sustainable
10,employment,communicable disease,sustainable,cooking,basic,married,paris agreement,vulnerable,primary secondary,protected,urbanization,state,trafficking,subsidy,youth,convention
11,developed country,child,fishing,efficiency,service,mutilation,framework convention,poor vulnerable,secondary education,biodiversity area,public transport,duty free,homicide,market,worker,resource
12,emission,malaria,pollution,modern,transboundary,work,national adaptation,world population,mathematics,conservation,solid waste,inequality,access justice,price,financial,waste
13,mobile,tuberculosis,area,consumption,water scarcity,female genital,paris,population,primary education,degradation,solid,free,right institution,export subsidy,annual,metric
14,global manufacturing,reproductive,fish stock,energy energy,sanitation service,genital mutilation,convention,living extreme,quality,protected area,public space,country island,national human,insecurity,young,company
15,network,incidence,overfishing,access clean,scarcity,genital,action,worker,saharan,freshwater,disaster,income,public,producer,annual growth,domestic
16,developing,adolescent,resource,access electricity,integrated water,legal,framework,poverty rate,africa,forest area,urban resident,including,sexual,production,global,footprint developing
17,northern america,neonatal,protected area,fuel technology,resource management,practice,convention climate,world,skill,extinction,resident,product,killed,food insecurity,informal employment,natural resource
18,europe,vaccine,protected,improvement,country,child marriage,adaptation plan,economic,quality education,desertification,living,international,information,food production,informal,policy
19,carbon,care,marine resource,clean energy,resource,partner,national,income,trained,hectare,living slum,assistance,national,undernourished,region,natural
20,economic,globally,level,global,asia,country,united framework,disaster risk,reading mathematics,poaching,pollution,policy,punishment,food producer,working,hazardous
21,europe northern,saharan,marine environment,rate improvement,defecation,unpaid,plan,pension,saharan africa,poaching trafficking,sprawl,cost,physical punishment,overweight,economic growth,pollutant
22,research development,saharan africa,biologically sustainable,global energy,open defecation,right,mitigation,live extreme,child adolescent,land degradation,settlement,export,psychological,stunting,economic,developing
23,america,infection,biologically,wind,water service,intimate,united,live,basic,resource,convenient access,flow,aggression,food price,financial service,national policy
24,research,hepatitis,national jurisdiction,reliable,integrated,intimate partner,reduction,economic loss,country,genetic resource,convenient,migration,bribery,government,developed,taking
25,region,africa,jurisdiction,affordable reliable,freshwater,empowerment,disaster risk,worker living,school teacher,land area,world,tariff,psychological aggression,stunted,global unemployment,country
26,transport,neonatal mortality,biodiversity,solar,hygiene,aged,emission,lived,level,covered,open public,particular,available,plant,work,hazardous waste
27,reached,risk,sustainable level,clean fuel,sanitation facility,parliament,climate fund,reduce,literacy,degraded,access,development assistance,crime,world,access financial,chemical
28,dioxide,treatment,environment national,modern energy,access,care,green climate,lived extreme,youth,biodiversity loss,safe,research,compliant,productivity,woman,practice
29,carbon dioxide,suicide,water,affordable,sector,girl woman,developed country,reduction,scholarship,genetic,access public,treatment,principle,sustainable food,trade,pattern
